課程名稱,老師,學分數
小故事，大世界,"李維晏
三 6,7,8
博雅301",3 學分
小故事，大世界,"李維晏
三 7,8,9",3 學分
科學說人話：科普寫作,"蘇虹菱
三 2,3,4
共102",3 學分
讀中生智(三)：時事思辯,"柯凱彣
五 3,4
共401",2 學分
英文專題寫作,"熊宜君
三 2,3,4
共401",3 學分
英文專題寫作,"葉芳萍
三 6,7,8
博雅406",3 學分
AI輔助英文應用寫作,"陳翊齊
四 6,7
普401",2 學分
英文即席演講溝通術,"胡至柔
二 6,7
普204",2 學分
新媒體AI應用英文寫作,"歐墨然
二 3,4
共308",2 學分
自我行銷有一套: 實用中文寫作,"蘇虹菱
三 6,7,8
共402",3 學分
科技英文寫作與表達,"陳翊齊
四 2,3,4
綜501",3 學分
職場交涉藝術,"胡至柔
三 6,7
共307",2 學分
讀中生智：字裡行間的永續未來,"胡至柔
三 3,4
博雅301",2 學分
